DATETIME,LATITUDE,LONGITUDE,OBSERVATION COUNT,temperature,time_deltas,OBSERVATION_DATETIME,COMMON NAME
2011-01-02,-34.6841667,-54.2768333,1.0,294.049987793,118800.0,2011-01-02,White-rumped Sandpiper
2011-01-03,-53.1162328,-70.8813,1.0,281.75,216600.0,2011-01-03,White-rumped Sandpiper
2011-01-04,-53.1162328,-70.8813,2.0,280.020019531,334800.0,2011-01-04,White-rumped Sandpiper
2011-01-05,-25.2666667,-57.6166667,8.0,299.720001221,367200.0,2011-01-05,White-rumped Sandpiper
2011-01-06,-44.01683265,-64.6371603,2.0,292.799987793,457200.0,2011-01-06,White-rumped Sandpiper
2011-01-07,-40.5107087,-62.6875591333,1.66666666667,293.199991862,543300.0,2011-01-07,White-rumped Sandpiper
2011-01-08,-37.00458475,-60.7379579667,1.33333333333,293.599995931,629400.0,2011-01-08,White-rumped Sandpiper
2011-01-09,-33.4984608,-58.7883568,1.0,294.0,715500.0,2011-01-09,White-rumped Sandpiper
2011-01-10,-39.5868177,-58.5490463333,1.66666666667,290.356669108,805800.0,2011-01-10,White-rumped Sandpiper
2011-01-11,-45.6751746,-58.3097358667,2.33333333333,286.713338216,896100.0,2011-01-11,White-rumped Sandpiper
2011-01-12,-51.7635315,-58.0704254,3.0,283.070007324,986400.0,2011-01-12,White-rumped Sandpiper
2011-01-13,-43.26467685,-57.24320995,5.5,290.035003662,1072800.0,2011-01-13,White-rumped Sandpiper
2011-01-14,-34.7658222,-56.4159945,8.0,297.0,1159200.0,2011-01-14,White-rumped Sandpiper
2011-01-15,-33.155,-63.5418333,1.0,303.799987793,1231200.0,2011-01-15,White-rumped Sandpiper
2011-01-16,-42.5190350333,-66.6207143333,16.0,298.66998291,1318500.0,2011-01-16,White-rumped Sandpiper
2011-01-17,-47.6239732167,-68.8381682166,13.0,288.819992065,1418850.0,2011-01-17,White-rumped Sandpiper
2011-01-18,-52.7289114,-71.0556221,10.0,278.970001221,1519200.0,2011-01-18,White-rumped Sandpiper
2011-01-19,-54.8373797,-68.3510274,1.0,278.600006104,1608300.0,2011-01-19,White-rumped Sandpiper
2011-01-20,-46.8726436333,-66.1196415667,18.0,281.070007324,1671300.0,2011-01-20,White-rumped Sandpiper
2011-01-21,-25.2666667,-57.6166667,12.0,298.150024414,1778400.0,2011-01-21,White-rumped Sandpiper
2011-01-22,-53.1162328,-70.8813,4.0,280.200012207,1850400.0,2011-01-22,White-rumped Sandpiper
2011-01-23,-43.3073468,-64.8348284,2.5,291.050018311,1930500.0,2011-01-23,White-rumped Sandpiper
2011-01-24,-33.4984608,-58.7883568,1.0,301.900024414,2010600.0,2011-01-24,White-rumped Sandpiper
2011-01-25,-43.3322656,-64.84418395,1.0,291.325012207,2118840.0,2011-01-25,White-rumped Sandpiper
2011-01-26,-53.1660704,-70.9000111,1.0,280.75,2227080.0,2011-01-26,White-rumped Sandpiper
2011-01-27,-53.0512904,-71.0595918,6.0,280.020019531,2286000.0,2011-01-27,White-rumped Sandpiper
2011-01-28,-48.5424719667,-67.2293820667,124.0,293.970001221,2363400.0,2011-01-28,White-rumped Sandpiper
2011-01-29,-30.9082095,-62.8648853,37.0,299.900024414,2476140.0,2011-01-29,White-rumped Sandpiper
2011-01-30,-50.3252173,-72.2663176,2.0,276.570007324,2557800.0,2011-01-30,White-rumped Sandpiper
2011-01-31,-30.9442529,-62.7301741,7.0,294.070007324,2639820.0,2011-01-31,White-rumped Sandpiper
2011-02-01,-33.49246206,-62.91414359,245.8,293.762005615,2722416.0,2011-02-01,White-rumped Sandpiper
2011-02-02,-36.04067122,-63.09811308,484.6,293.454003906,2805012.0,2011-02-02,White-rumped Sandpiper
2011-02-03,-38.58888038,-63.28208257,723.4,293.146002197,2887608.0,2011-02-03,White-rumped Sandpiper
2011-02-04,-41.13708954,-63.46605206,962.2,292.838000488,2970204.0,2011-02-04,White-rumped Sandpiper
2011-02-05,-43.6852987,-63.65002155,1201.0,292.529998779,3052800.0,2011-02-05,White-rumped Sandpiper
2011-02-06,-38.9064812,-63.4660787,1001.0,298.83001709,3134700.0,2011-02-06,White-rumped Sandpiper
2011-02-07,-52.83126425,-70.09839535,101.0,284.900024414,3236400.0,2011-02-07,White-rumped Sandpiper
2011-02-08,-53.1018956,-70.8735537,2.0,284.650024414,3328500.0,2011-02-08,White-rumped Sandpiper
2011-02-09,-52.962821225,-70.48940775,1502.0,287.360015869,3410250.0,2011-02-09,White-rumped Sandpiper
2011-02-10,-52.82374685,-70.1052618,3002.0,290.070007324,3492000.0,2011-02-10,White-rumped Sandpiper
2011-02-11,-52.84866565,-70.11461735,202.0,286.020019531,3582000.0,2011-02-11,White-rumped Sandpiper
2011-02-12,-52.857641075,-70.4704392,251.0,280.049987793,3661200.0,2011-02-12,White-rumped Sandpiper
2011-02-13,-46.76517945,-68.06322095,402.0,295.350006104,3751200.0,2011-02-13,White-rumped Sandpiper
2011-02-14,-47.28090685,-72.344569,108.0,278.150024414,3859200.0,2011-02-14,White-rumped Sandpiper
2011-02-15,-49.0343587,-71.5887634333,36.0,277.570007324,3945600.0,2011-02-15,White-rumped Sandpiper
2011-02-16,-38.59397665,-58.42158605,3.0,279.220001221,4004100.0,2011-02-16,White-rumped Sandpiper
2011-02-17,-38.755321675,-60.227459675,21.0,284.035003663,4090050.0,2011-02-17,White-rumped Sandpiper
2011-02-18,-38.9166667,-62.0333333,39.0,288.850006104,4176000.0,2011-02-18,White-rumped Sandpiper
2011-02-19,-36.649568,-67.0157311,20.0,291.185012818,4262400.0,2011-02-19,White-rumped Sandpiper
2011-02-20,-34.3824693,-71.9981289,1.0,293.520019531,4348800.0,2011-02-20,White-rumped Sandpiper
2011-02-21,-40.8054646,-71.6464376667,2.66666666667,289.920013428,4439500.0,2011-02-21,White-rumped Sandpiper
2011-02-22,-47.2284599,-71.2947464333,4.33333333333,286.320007324,4530200.0,2011-02-22,White-rumped Sandpiper
2011-02-23,-53.6514552,-70.9430552,6.0,282.720001221,4620900.0,2011-02-23,White-rumped Sandpiper
2011-02-24,-49.1014053778,-69.1820133111,89.0,287.496663412,4703000.0,2011-02-24,White-rumped Sandpiper
2011-02-25,-44.5513555555,-67.4209714222,172.0,292.273325602,4785100.0,2011-02-25,White-rumped Sandpiper
2011-02-26,-40.0013057333,-65.6599295333,255.0,297.049987793,4867200.0,2011-02-26,White-rumped Sandpiper
2011-02-27,-30.85757415,-62.8713548,114.0,297.0,4953600.0,2011-02-27,White-rumped Sandpiper
2011-02-28,-41.71518915,-66.0983634,55.0,295.950012207,5036400.0,2011-02-28,White-rumped Sandpiper
2011-03-01,-40.3797819083,-65.3286871417,46.1666666667,296.200012207,5125200.0,2011-03-01,White-rumped Sandpiper
2011-03-02,-39.0443746667,-64.5590108833,37.3333333333,296.450012207,5214000.0,2011-03-02,White-rumped Sandpiper
2011-03-03,-37.708967425,-63.789334625,28.5,296.700012207,5302800.0,2011-03-03,White-rumped Sandpiper
2011-03-04,-36.3735601833,-63.0196583667,19.6666666667,296.950012207,5391600.0,2011-03-04,White-rumped Sandpiper
2011-03-05,-35.0381529417,-62.2499821083,10.8333333333,297.200012207,5480400.0,2011-03-05,White-rumped Sandpiper
2011-03-06,-33.7027457,-61.48030585,2.0,297.450012207,5569200.0,2011-03-06,White-rumped Sandpiper
2011-03-07,-38.08286285,-62.792421925,3.0,298.140014649,5646600.0,2011-03-07,White-rumped Sandpiper
2011-03-08,-42.46298,-64.104538,4.0,298.83001709,5724000.0,2011-03-08,White-rumped Sandpiper
2011-03-09,-44.60797066,-65.35189822,3.6,295.254016113,5811840.0,2011-03-09,White-rumped Sandpiper
2011-03-10,-46.75296132,-66.59925844,3.2,291.678015137,5899680.0,2011-03-10,White-rumped Sandpiper
2011-03-11,-48.89795198,-67.84661866,2.8,288.10201416,5987520.0,2011-03-11,White-rumped Sandpiper
2011-03-12,-51.04294264,-69.09397888,2.4,284.526013184,6075360.0,2011-03-12,White-rumped Sandpiper
2011-03-13,-53.1879333,-70.3413391,2.0,280.950012207,6163200.0,2011-03-13,White-rumped Sandpiper
2011-03-14,-53.0158722667,-69.9104404333,134.666666667,280.740010579,6251400.0,2011-03-14,White-rumped Sandpiper
2011-03-15,-52.8438112333,-69.4795417667,267.333333333,280.530008952,6339600.0,2011-03-15,White-rumped Sandpiper
2011-03-16,-52.6717502,-69.0486431,400.0,280.320007324,6427800.0,2011-03-16,White-rumped Sandpiper
2011-03-17,-50.4519069187,-68.2116984937,357.625,281.520004272,6513682.5,2011-03-17,White-rumped Sandpiper
2011-03-18,-48.2320636375,-67.3747538875,315.25,282.720001221,6599565.0,2011-03-18,White-rumped Sandpiper
2011-03-19,-46.0122203562,-66.5378092812,272.875,283.919998169,6685447.5,2011-03-19,White-rumped Sandpiper
2011-03-20,-43.792377075,-65.700864675,230.5,285.119995117,6771330.0,2011-03-20,White-rumped Sandpiper
2011-03-21,-41.5725337937,-64.8639200687,188.125,286.319992065,6857212.5,2011-03-21,White-rumped Sandpiper
2011-03-22,-39.3526905125,-64.0269754625,145.75,287.519989013,6943095.0,2011-03-22,White-rumped Sandpiper
2011-03-23,-37.1328472312,-63.1900308562,103.375,288.719985962,7028977.5,2011-03-23,White-rumped Sandpiper
2011-03-24,-34.91300395,-62.35308625,61.0,289.91998291,7114860.0,2011-03-24,White-rumped Sandpiper
2011-03-25,-34.1844588,-63.5602355,183.0,288.270019531,7196400.0,2011-03-25,White-rumped Sandpiper
2011-03-26,-30.9082095,-62.8648853,172.0,290.369995117,7317900.0,2011-03-26,White-rumped Sandpiper
2011-03-27,-26.4718892,-64.6705112214,147.714285714,290.852852957,7399800.0,2011-03-27,White-rumped Sandpiper
2011-03-28,-22.0355689,-66.4761371429,123.428571429,291.335710798,7481700.0,2011-03-28,White-rumped Sandpiper
2011-03-29,-17.5992486,-68.2817630643,99.1428571429,291.818568638,7563600.0,2011-03-29,White-rumped Sandpiper
2011-03-30,-13.1629283,-70.0873889857,74.8571428571,292.301426479,7645500.0,2011-03-30,White-rumped Sandpiper
2011-03-31,-8.726608,-71.8930149071,50.5714285714,292.784284319,7727400.0,2011-03-31,White-rumped Sandpiper
2011-04-01,-4.2902877,-73.6986408286,26.2857142857,293.26714216,7809300.0,2011-04-01,White-rumped Sandpiper
2011-04-02,0.1460326,-75.50426675,2.0,293.75,7891200.0,2011-04-02,White-rumped Sandpiper
2011-04-03,-17.3494692,-66.730236975,1.5,291.925003052,7976700.0,2011-04-03,White-rumped Sandpiper
2011-04-04,-34.844971,-57.9562072,1.0,290.100006104,8062200.0,2011-04-04,White-rumped Sandpiper
2011-04-05,-21.43418263,-65.05695084,3.6,291.470007325,8148060.0,2011-04-05,White-rumped Sandpiper
2011-04-06,-8.02339426,-72.15769448,6.2,292.840008545,8233920.0,2011-04-06,White-rumped Sandpiper
2011-04-07,5.38739411,-79.25843812,8.8,294.210009766,8319780.0,2011-04-07,White-rumped Sandpiper
2011-04-08,18.79818248,-86.35918176,11.4,295.580010986,8405640.0,2011-04-08,White-rumped Sandpiper
2011-04-09,32.20897085,-93.4599254,14.0,296.950012207,8491500.0,2011-04-09,White-rumped Sandpiper
2011-04-10,-23.3330647,-44.8987734,2.0,297.200012207,8595000.0,2011-04-10,White-rumped Sandpiper
2011-04-11,-7.1932098,-56.7482756,2.66666666667,297.350016276,8679600.0,2011-04-11,White-rumped Sandpiper
2011-04-12,8.9466451,-68.5977778,3.33333333333,297.500020345,8764200.0,2011-04-12,White-rumped Sandpiper
2011-04-13,25.0865,-80.44728,4.0,297.650024414,8848800.0,2011-04-13,White-rumped Sandpiper
2011-04-14,28.4500446,-96.4043116,1.0,296.650024414,8955000.0,2011-04-14,White-rumped Sandpiper
2011-04-15,-36.3072751,-56.7622375,1.0,287.66998291,9010800.0,2011-04-15,White-rumped Sandpiper
2011-04-16,-3.211691,-75.98136745,2.0,288.600006104,9097200.0,2011-04-16,White-rumped Sandpiper
2011-04-17,-0.4302994,-77.98111715,26.0,295.799987793,9205200.0,2011-04-17,White-rumped Sandpiper
2011-04-18,-18.9888965889,-66.6596684333,128.0,301.850006104,9270600.0,2011-04-18,White-rumped Sandpiper
2011-04-19,27.8525492,-97.3559312,1.0,300.350006104,9369600.0,2011-04-19,White-rumped Sandpiper
2011-04-20,26.0083102667,-88.5943079,3.0,296.650024414,9442800.0,2011-04-20,White-rumped Sandpiper
2011-04-21,28.9566884,-89.44630524,9.0,296.369995117,9536580.0,2011-04-21,White-rumped Sandpiper
2011-04-22,29.4663793,-95.66239596,8.0,296.869995117,9594000.0,2011-04-22,White-rumped Sandpiper
2011-04-23,24.3957352857,-87.9916423143,63.0,290.549987793,9707400.0,2011-04-23,White-rumped Sandpiper
2011-04-24,35.03074785,-93.84872345,2.0,282.820007324,9813600.0,2011-04-24,White-rumped Sandpiper
2011-04-25,-2.67468385,-74.61029755,47.0,297.200012207,9895500.0,2011-04-25,White-rumped Sandpiper
2011-04-26,29.4405375,-89.1846123,3.0,300.850006104,9970200.0,2011-04-26,White-rumped Sandpiper
2011-04-27,35.1168218667,-91.2514607,4.0,283.770019531,10058400.0,2011-04-27,White-rumped Sandpiper
2011-04-28,19.78229998,-85.77712034,81.0,287.350006104,10142100.0,2011-04-28,White-rumped Sandpiper
2011-04-29,22.2816893444,-88.0636006222,512.0,296.049987793,10219500.0,2011-04-29,White-rumped Sandpiper
2011-04-30,27.6462456045,-87.8407925909,474.0,299.600006104,10292400.0,2011-04-30,White-rumped Sandpiper
2011-05-01,30.8594251524,-92.3166181762,117.0,283.070007324,10391400.0,2011-05-01,White-rumped Sandpiper
2011-05-02,34.17550633,-92.85397474,58.0,288.91998291,10479600.0,2011-05-02,White-rumped Sandpiper
2011-05-03,30.5376499333,-92.3473591667,69.0,290.520019531,10565400.0,2011-05-03,White-rumped Sandpiper
2011-05-04,31.8185576667,-94.8435444,27.0,292.820007324,10648800.0,2011-05-04,White-rumped Sandpiper
2011-05-05,35.6016004467,-95.99526504,271.0,295.200012207,10744200.0,2011-05-05,White-rumped Sandpiper
2011-05-06,30.1263699462,-97.791937,37.0,297.350006104,10821600.0,2011-05-06,White-rumped Sandpiper
2011-05-07,31.5373307,-94.7382673167,71.0,296.799987793,10908000.0,2011-05-07,White-rumped Sandpiper
2011-05-08,31.8158175375,-94.9326880187,88.0,294.320007324,10990800.0,2011-05-08,White-rumped Sandpiper
2011-05-09,33.7089956273,-94.8244087,148.0,298.100006104,11086800.0,2011-05-09,White-rumped Sandpiper
2011-05-10,35.2748154533,-92.5459637067,104.0,295.850006104,11167200.0,2011-05-10,White-rumped Sandpiper
2011-05-11,35.8103007077,-90.9447426846,85.0,289.700012207,11254500.0,2011-05-11,White-rumped Sandpiper
2011-05-12,34.5202670389,-89.49484875,75.0,298.100006104,11340900.0,2011-05-12,White-rumped Sandpiper
2011-05-13,35.1551295048,-95.1694023524,511.0,286.100006104,11428200.0,2011-05-13,White-rumped Sandpiper
2011-05-14,31.5232228757,-88.0530669027,667.0,281.720001221,11513700.0,2011-05-14,White-rumped Sandpiper
2011-05-15,35.6412712636,-91.9233617576,450.0,297.33001709,11599200.0,2011-05-15,White-rumped Sandpiper
2011-05-16,35.3439814125,-88.4987800958,112.0,297.299987793,11686200.0,2011-05-16,White-rumped Sandpiper
2011-05-17,37.29680208,-87.1443159133,3770.0,297.429992676,11775000.0,2011-05-17,White-rumped Sandpiper
2011-05-18,36.8335120294,-86.3285653941,8192.0,286.549987793,11860200.0,2011-05-18,White-rumped Sandpiper
2011-05-19,36.8838822714,-85.1147195286,299.0,285.570007324,11943900.0,2011-05-19,White-rumped Sandpiper
2011-05-20,37.707776728,-82.599546696,154.0,289.299987793,12016800.0,2011-05-20,White-rumped Sandpiper
2011-05-21,37.1625013,-85.0630685159,291.0,289.950012207,12097800.0,2011-05-21,White-rumped Sandpiper
2011-05-22,37.56603306,-85.15525586,412.0,295.650024414,12196200.0,2011-05-22,White-rumped Sandpiper
2011-05-23,39.360881215,-84.06724815,62.0,293.070007324,12290400.0,2011-05-23,White-rumped Sandpiper
2011-05-24,38.4707696654,-81.5454683231,93.0,294.0,12375000.0,2011-05-24,White-rumped Sandpiper
2011-05-25,38.17662072,-82.0819322167,334.0,293.850006104,12461400.0,2011-05-25,White-rumped Sandpiper
2011-05-26,39.1546071481,-82.7908129741,426.0,295.020019531,12547500.0,2011-05-26,White-rumped Sandpiper
2011-05-27,39.8624002049,-78.7816049927,298.0,287.950012207,12634080.0,2011-05-27,White-rumped Sandpiper
2011-05-28,39.0495466122,-82.9032044061,1494.0,284.100006104,12702600.0,2011-05-28,White-rumped Sandpiper
2011-05-29,39.2262856615,-81.8676074731,390.0,292.600006104,12804900.0,2011-05-29,White-rumped Sandpiper
2011-05-30,41.0468302381,-79.2512820905,122.0,296.25,12892500.0,2011-05-30,White-rumped Sandpiper
2011-05-31,38.8418839476,-84.5995335095,97.0,288.850006104,12981000.0,2011-05-31,White-rumped Sandpiper
2011-06-01,38.9333685765,-87.7285618,74.0,297.970001221,13068000.0,2011-06-01,White-rumped Sandpiper
2011-06-02,40.4508762467,-94.9397275733,343.0,293.720001221,13150800.0,2011-06-02,White-rumped Sandpiper
2011-06-03,38.83289901,-90.31193162,76.0,300.549987793,13232700.0,2011-06-03,White-rumped Sandpiper
2011-06-04,38.5476464524,-90.9127153857,162.0,300.049987793,13307700.0,2011-06-04,White-rumped Sandpiper
2011-06-05,40.0056959889,-90.5405039111,233.0,295.799987793,13415400.0,2011-06-05,White-rumped Sandpiper
2011-06-06,44.6012192462,-93.2884269462,928.0,296.270019531,13502400.0,2011-06-06,White-rumped Sandpiper
2011-06-07,44.341793225,-87.827417575,47.0,299.33001709,13589400.0,2011-06-07,White-rumped Sandpiper
2011-06-08,33.56092438,-84.68487982,14.0,297.119995117,13676400.0,2011-06-08,White-rumped Sandpiper
2011-06-09,45.8879869571,-107.408573786,97.0,296.91998291,13759200.0,2011-06-09,White-rumped Sandpiper
2011-06-10,42.4136986364,-87.3831767727,54.0,289.700012207,13845600.0,2011-06-10,White-rumped Sandpiper
2011-06-11,43.2274621,-91.0775544412,60.0,285.41998291,13910400.0,2011-06-11,White-rumped Sandpiper
2011-06-12,38.19046498,-85.37363849,26.0,279.799987793,13996800.0,2011-06-12,White-rumped Sandpiper
2011-06-13,44.2622699167,-95.5087496167,9.0,273.429992676,14108400.0,2011-06-13,White-rumped Sandpiper
2011-06-14,39.2195833111,-88.5295699444,172.0,299.369995117,14191620.0,2011-06-14,White-rumped Sandpiper
2011-06-15,40.87484842,-76.91803808,26.0,292.570007324,14284800.0,2011-06-15,White-rumped Sandpiper
2011-06-16,36.55611242,-62.7953398,14.0,301.929992676,14364000.0,2011-06-16,White-rumped Sandpiper
2011-06-17,43.0771805714,-88.9476916571,17.0,289.020019531,14428800.0,2011-06-17,White-rumped Sandpiper
2011-06-18,40.204504175,-81.259456425,13.0,291.070007324,14536200.0,2011-06-18,White-rumped Sandpiper
2011-06-19,39.8967945286,-84.3211789714,69.0,287.549987793,14601600.0,2011-06-19,White-rumped Sandpiper
2011-06-20,46.96310795,-80.49778045,23.0,294.799987793,14706900.0,2011-06-20,White-rumped Sandpiper
2011-06-21,59.76838436,-101.71877332,10.0,273.070007324,14799600.0,2011-06-21,White-rumped Sandpiper
2011-06-22,47.32262252,-90.59226336,20.0,272.900024414,14886000.0,2011-06-22,White-rumped Sandpiper
2011-06-23,72.11609325,-113.4087015,13.0,272.600006104,14972400.0,2011-06-23,White-rumped Sandpiper
2011-06-24,28.859528075,-96.021663075,5.0,290.970001221,15056400.0,2011-06-24,White-rumped Sandpiper
2011-06-25,35.6009837875,-81.3882793875,17.0,278.520019531,15134400.0,2011-06-25,White-rumped Sandpiper
2011-06-26,55.236938225,-101.5109826,25.0,275.100006104,15231600.0,2011-06-26,White-rumped Sandpiper
2011-06-27,38.562763,-75.412340725,33.0,295.41998291,15318900.0,2011-06-27,White-rumped Sandpiper
2011-06-28,72.4,-99.0,1.0,275.970001221,15414600.0,2011-06-28,White-rumped Sandpiper
2011-06-29,47.69487744,-93.65218796,9.0,273.150024414,15490800.0,2011-06-29,White-rumped Sandpiper
2011-06-30,46.51290994,-89.63121668,10.0,297.83001709,15573000.0,2011-06-30,White-rumped Sandpiper
2011-07-01,56.01760315,-114.6908752,3.0,273.820007324,15663600.0,2011-07-01,White-rumped Sandpiper
