OBSERVATION_DATETIME,mexico_city,reykjavik,anchorage,cape_horn,albuquerque,buenos_aires,vancouver,brasilia,nyc
2011-01-20,286.549987793,277.970001221,258.549987793,280.100006104,270.299987793,295.0,275.350006104,296.470001221,272.299987793
2011-01-21,286.450012207,279.650024414,258.020019531,283.020019531,273.770019531,297.450012207,274.91998291,297.470001221,265.400024414
2011-01-22,287.369995117,278.900024414,254.869995117,281.020019531,271.66998291,300.049987793,274.600006104,296.470001221,265.850006104
2011-01-23,286.850006104,276.41998291,268.070007324,280.970001221,270.369995117,301.619995117,276.049987793,296.549987793,263.720001221
2011-01-24,286.720001221,276.619995117,267.799987793,279.650024414,268.41998291,301.900024414,275.650024414,296.58001709,270.320007324
2011-01-25,286.070007324,277.369995117,266.950012207,279.299987793,267.320007324,300.799987793,275.75,296.470001221,272.770019531
2011-01-26,287.100006104,276.320007324,262.600006104,281.029998779,268.619995117,295.020019531,276.549987793,296.799987793,272.350006104
2011-01-27,286.520019531,274.720001221,262.619995117,280.679992676,269.100006104,297.150024414,276.66998291,296.820007324,271.900024414
2011-01-28,287.66998291,276.450012207,264.320007324,283.549987793,273.320007324,296.429992676,275.720001221,297.150024414,271.450012207
2011-01-29,288.070007324,276.549987793,264.450012207,281.799987793,275.900024414,298.369995117,270.619995117,296.600006104,271.799987793
2011-01-30,289.970001221,274.700012207,263.850006104,280.75,274.91998291,299.470001221,268.369995117,297.869995117,270.150024414
2011-01-31,289.320007324,273.049987793,269.350006104,281.770019531,269.200012207,292.020019531,269.270019531,297.700012207,271.91998291
2011-02-01,287.369995117,272.119995117,269.299987793,280.75,257.5,292.779998779,272.25,298.320007324,274.150024414
2011-02-02,287.16998291,272.549987793,269.270019531,280.119995117,251.820007324,297.220001221,276.049987793,297.520019531,271.700012207
2011-02-03,286.75,272.279998779,262.820007324,278.25,261.820007324,297.470001221,277.850006104,297.200012207,270.91998291
2011-02-04,286.320007324,274.049987793,257.320007324,279.200012207,268.049987793,297.020019531,274.429992676,296.950012207,273.700012207
2011-02-05,286.770019531,274.700012207,257.549987793,280.66998291,270.66998291,292.529998779,274.020019531,296.619995117,276.16998291
2011-02-06,286.570007324,273.320007324,256.170013428,281.400024414,267.549987793,294.369995117,275.549987793,297.16998291,274.200012207
2011-02-07,285.770019531,273.900024414,264.400024414,282.66998291,272.179992676,294.020019531,271.450012207,296.700012207,275.41998291
2011-02-08,288.850006104,275.549987793,269.779998779,286.279998779,264.5,294.400024414,271.100006104,296.650024414,267.0
2011-02-09,287.970001221,274.850006104,264.25,287.970001221,262.75,293.270019531,271.619995117,295.91998291,269.470001221
2011-02-10,287.070007324,277.320007324,257.470001221,287.91998291,264.200012207,294.5,273.970001221,295.350006104,269.25
2011-02-11,286.070007324,275.850006104,251.550018311,283.820007324,270.520019531,295.720001221,276.299987793,295.66998291,273.41998291
2011-02-12,284.049987793,275.400024414,247.850006104,281.970001221,274.020019531,295.900024414,274.400024414,296.400024414,273.970001221
2011-02-13,286.700012207,274.470001221,246.269989014,280.91998291,278.350006104,295.900024414,276.049987793,296.58001709,280.970001221
2011-02-14,288.5,274.0,247.649993896,279.520019531,279.91998291,296.779998779,274.100006104,296.350006104,274.320007324
2011-02-15,289.470001221,275.650024414,250.529998779,279.700012207,281.119995117,296.900024414,273.5,296.58001709,273.0
2011-02-16,289.869995117,275.770019531,253.369995117,280.970001221,280.869995117,298.66998291,271.66998291,296.119995117,279.570007324
2011-02-17,290.869995117,275.600006104,264.020019531,284.150024414,279.549987793,297.869995117,271.970001221,296.970001221,281.900024414
2011-02-18,289.450012207,275.950012207,258.869995117,281.850006104,281.0,293.119995117,269.470001221,296.16998291,281.520019531
2011-02-19,289.820007324,277.619995117,252.649993896,284.850006104,276.75,294.029998779,267.850006104,296.470001221,271.119995117
2011-02-20,290.100006104,276.869995117,261.600006104,283.570007324,270.850006104,294.970001221,272.150024414,296.41998291,274.950012207
2011-02-21,290.150024414,276.049987793,256.950012207,282.799987793,274.070007324,295.5,271.66998291,296.850006104,267.700012207
2011-02-22,290.720001221,277.5,254.670013428,283.75,275.91998291,295.150024414,268.049987793,297.720001221,270.600006104
2011-02-23,290.850006104,277.0,263.900024414,285.25,274.570007324,292.900024414,264.470001221,296.950012207,274.029998779
2011-02-24,291.220001221,276.049987793,267.0,282.529998779,273.720001221,292.950012207,262.320007324,296.299987793,279.470001221
2011-02-25,290.119995117,273.850006104,258.369995117,279.91998291,276.350006104,296.150024414,267.41998291,296.119995117,274.350006104
2011-02-26,290.049987793,275.150024414,251.899993896,282.700012207,276.650024414,298.600006104,271.970001221,295.520019531,276.450012207
2011-02-27,290.200012207,275.75,254.600006104,284.950012207,271.549987793,297.299987793,270.799987793,295.270019531,279.700012207
2011-02-28,288.720001221,274.5,256.25,286.619995117,275.869995117,296.100006104,270.66998291,296.0,277.100006104
2011-03-01,289.75,274.320007324,255.800018311,281.549987793,280.41998291,295.600006104,273.450012207,295.320007324,277.020019531
2011-03-02,290.820007324,277.100006104,255.399993896,282.5,281.549987793,296.679992676,271.5,296.08001709,270.91998291
2011-03-03,292.020019531,274.0,253.149993896,283.350006104,278.850006104,297.049987793,271.470001221,296.520019531,271.950012207
2011-03-04,290.270019531,274.5,253.25,285.970001221,273.770019531,296.650024414,274.369995117,295.650024414,278.700012207
2011-03-05,287.520019531,274.150024414,259.799987793,284.41998291,276.16998291,296.619995117,271.450012207,296.41998291,282.720001221
2011-03-06,288.950012207,271.720001221,259.25,281.549987793,278.970001221,297.350006104,271.5,296.869995117,278.16998291
2011-03-07,290.16998291,268.929992676,261.299987793,283.450012207,275.200012207,297.299987793,273.369995117,296.400024414,275.200012207
2011-03-08,289.600006104,267.400024414,259.91998291,285.400024414,273.0,299.020019531,274.650024414,296.799987793,275.820007324
2011-03-09,287.619995117,266.720001221,257.369995117,280.070007324,277.549987793,299.119995117,275.369995117,297.020019531,279.100006104
2011-03-10,285.600006104,267.700012207,255.399993896,277.75,282.820007324,297.400024414,274.41998291,296.470001221,281.66998291
2011-03-11,289.41998291,268.570007324,256.369995117,278.320007324,282.220001221,297.700012207,275.619995117,296.700012207,278.66998291
2011-03-12,290.049987793,272.850006104,255.700012207,278.220001221,279.619995117,286.850006104,275.450012207,295.41998291,280.600006104
2011-03-13,290.75,276.679992676,254.399993896,281.450012207,279.970001221,287.600006104,276.16998291,295.650024414,277.369995117
2011-03-14,288.770019531,270.66998291,255.300018311,280.700012207,280.66998291,288.799987793,276.320007324,295.33001709,277.299987793
2011-03-15,289.720001221,268.820007324,259.720001221,281.429992676,283.150024414,291.470001221,275.5,296.049987793,278.720001221
2011-03-16,289.41998291,267.970001221,260.850006104,280.869995117,285.020019531,295.119995117,272.850006104,297.75,281.570007324
2011-03-17,290.720001221,269.600006104,262.570007324,280.220001221,284.299987793,290.119995117,275.320007324,296.720001221,285.320007324
2011-03-18,290.299987793,269.299987793,265.119995117,280.600006104,284.66998291,290.350006104,275.450012207,296.700012207,286.119995117
2011-03-19,291.299987793,269.869995117,263.66998291,280.200012207,283.070007324,292.91998291,274.369995117,296.799987793,277.350006104
2011-03-20,290.5,272.41998291,265.279998779,281.549987793,284.650024414,294.650024414,275.700012207,296.549987793,278.820007324
2011-03-21,289.850006104,270.950012207,263.75,277.869995117,278.720001221,297.049987793,274.770019531,295.41998291,281.450012207
2011-03-22,292.0,269.869995117,265.070007324,277.900024414,275.619995117,292.020019531,274.100006104,295.220001221,277.41998291
2011-03-23,291.66998291,272.549987793,265.950012207,280.270019531,280.0,287.799987793,275.970001221,295.450012207,274.91998291
2011-03-24,292.320007324,274.799987793,267.350006104,281.5,279.950012207,289.570007324,276.950012207,295.900024414,273.369995117
2011-03-25,293.470001221,275.700012207,265.720001221,278.650024414,278.650024414,290.320007324,276.049987793,296.700012207,272.320007324
2011-03-26,293.91998291,276.200012207,262.869995117,279.049987793,280.350006104,286.650024414,275.650024414,297.0,273.470001221
2011-03-27,293.41998291,276.369995117,265.600006104,280.150024414,281.150024414,288.16998291,275.91998291,297.470001221,273.799987793
2011-03-28,293.970001221,275.5,269.850006104,279.400024414,280.869995117,290.369995117,276.0,296.850006104,275.470001221
2011-03-29,293.770019531,276.020019531,269.220001221,277.75,280.100006104,290.600006104,276.600006104,296.799987793,277.570007324
2011-03-30,294.75,276.320007324,265.66998291,277.41998291,281.900024414,293.91998291,277.320007324,297.75,276.700012207
2011-03-31,293.400024414,276.0,260.91998291,277.600006104,286.350006104,296.350006104,274.770019531,297.220001221,276.320007324
2011-04-01,293.049987793,274.850006104,267.549987793,279.16998291,290.0,294.0,275.470001221,296.850006104,278.400024414
2011-04-02,293.950012207,273.619995117,268.570007324,276.970001221,288.700012207,293.75,275.520019531,296.520019531,279.75
2011-04-03,294.950012207,274.799987793,270.549987793,278.619995117,279.119995117,291.100006104,275.220001221,296.020019531,282.650024414
2011-04-04,294.049987793,276.929992676,269.799987793,279.119995117,280.720001221,290.100006104,274.049987793,295.850006104,285.350006104
2011-04-05,293.600006104,275.650024414,262.820007324,280.820007324,286.41998291,291.16998291,273.650024414,296.119995117,278.970001221
