,AVG LAT,AVG LON,COMMON NAME,OBSERVATION COUNT,OBSERVATION_DATE,TEMPERATURE,TIME_DELTAS,VERTICES
0,31.5383833,-110.7604694,Lazuli Bunting,6,2011-01-01,272.799987793,33300.0,31.54*-110.76*6
1,26.9691325,-108.92318685,Lazuli Bunting,9,2011-01-02,289.16998291,113400.0,26.91*-108.91*4&27.02*-108.93*5
2,27.64804015,-110.36757575,Lazuli Bunting,2,2011-01-03,292.320007324,199500.0,23.76*-109.97*1&31.54*-110.76*1
3,28.5591308667,-109.412091567,Lazuli Bunting,8,2011-01-05,294.450012207,370800.0,27.09*-108.71*4&27.05*-108.77*3&31.54*-110.76*1
4,31.54167905,-110.75848625,Lazuli Bunting,4,2011-01-06,286.119995117,465300.0,31.54*-110.76*1&31.54*-110.76*3
5,29.299872,-109.851905,Lazuli Bunting,2,2011-01-08,286.299987793,630000.0,27.06*-108.94*1&31.54*-110.76*1
6,31.5358758333,-110.7645237,Lazuli Bunting,11,2011-01-09,283.049987793,721800.0,31.54*-110.76*8&31.53*-110.78*1&31.54*-110.76*2
7,31.5390131,-110.7606337,Lazuli Bunting,1,2011-01-10,279.029998779,838800.0,31.54*-110.76*1
8,31.8008902,-110.862876167,Lazuli Bunting,5,2011-01-12,282.950012207,979200.0,32.32*-111.07*1&31.54*-110.76*2&31.54*-110.76*2
9,31.5390131,-110.7606337,Lazuli Bunting,1,2011-01-14,287.91998291,1155000.0,31.54*-110.76*1
10,30.0029419,-110.140091133,Lazuli Bunting,4,2011-01-15,289.970001221,1234800.0,26.94*-108.88*1&31.53*-110.78*1&31.54*-110.76*2
11,26.912006,-108.9085329,Lazuli Bunting,15,2011-01-16,292.100006104,1321200.0,26.91*-108.91*15
12,24.9504672,-109.43316225,Lazuli Bunting,11,2011-01-18,291.869995117,1496400.0,27.03*-108.94*3&22.87*-109.93*8
13,23.4505395,-106.001580867,Lazuli Bunting,12,2011-01-19,294.66998291,1580400.0,19.28*-103.72*1&19.53*-103.53*6&31.54*-110.76*5
14,29.254835,-109.8349268,Lazuli Bunting,7,2011-01-21,289.970001221,1756800.0,26.98*-108.89*4&31.53*-110.78*3
15,31.528,-110.775,Lazuli Bunting,2,2011-01-22,286.950012207,1859400.0,31.53*-110.78*2
16,31.4204234,-110.2475023,Lazuli Bunting,1,2011-01-23,279.100006104,1951200.0,31.42*-110.25*1
17,31.5390131,-110.7606337,Lazuli Bunting,2,2011-01-24,282.570007324,2030400.0,31.54*-110.76*2
18,25.57636775,-107.16421355,Lazuli Bunting,3,2011-01-25,293.600006104,2107800.0,19.61*-103.57*2&31.54*-110.76*1
