,AVG LAT,AVG LON,COMMON NAME,OBSERVATION COUNT,OBSERVATION_DATE,TEMPERATURE,TIME_DELTAS,VERTICES
0,-34.6841667,-54.2768333,White-rumped Sandpiper,1,2011-01-02,294.049987793,118800.0,-34.68*-54.28*1
1,-53.1162328,-70.8813,White-rumped Sandpiper,1,2011-01-03,281.75,216600.0,-53.12*-70.88*1
2,-53.1162328,-70.8813,White-rumped Sandpiper,2,2011-01-04,280.020019531,334800.0,-53.12*-70.88*2
3,-25.2666667,-57.6166667,White-rumped Sandpiper,8,2011-01-05,299.720001221,367200.0,-25.27*-57.62*4&-25.27*-57.62*4
4,-44.01683265,-64.6371603,White-rumped Sandpiper,2,2011-01-06,292.799987793,457200.0,-36.31*-56.76*1&-51.73*-72.51*1
5,-33.4984608,-58.7883568,White-rumped Sandpiper,1,2011-01-09,294.0,715500.0,-33.50*-58.79*1
6,-51.7635315,-58.0704254,White-rumped Sandpiper,3,2011-01-12,283.070007324,986400.0,-51.76*-58.07*3
7,-34.7658222,-56.4159945,White-rumped Sandpiper,8,2011-01-14,297.0,1159200.0,-34.77*-56.42*8
8,-33.155,-63.5418333,White-rumped Sandpiper,1,2011-01-15,303.799987793,1231200.0,-33.16*-63.54*1
9,-42.5190350333,-66.6207143333,White-rumped Sandpiper,16,2011-01-16,298.66998291,1318500.0,-25.27*-57.62*4&-53.65*-70.94*2&-48.64*-71.30*10
10,-52.7289114,-71.0556221,White-rumped Sandpiper,10,2011-01-18,278.970001221,1519200.0,-52.73*-71.06*10
11,-54.8373797,-68.3510274,White-rumped Sandpiper,1,2011-01-19,278.600006104,1608300.0,-54.84*-68.35*1
12,-46.8726436333,-66.1196415667,White-rumped Sandpiper,18,2011-01-20,281.070007324,1671300.0,-53.12*-70.88*4&-52.74*-71.06*4&-34.77*-56.42*10
13,-25.2666667,-57.6166667,White-rumped Sandpiper,12,2011-01-21,298.150024414,1778400.0,-25.27*-57.62*12
14,-53.1162328,-70.8813,White-rumped Sandpiper,4,2011-01-22,280.200012207,1850400.0,-53.12*-70.88*4
15,-33.4984608,-58.7883568,White-rumped Sandpiper,1,2011-01-24,301.900024414,2010600.0,-33.50*-58.79*1
16,-53.1660704,-70.9000111,White-rumped Sandpiper,1,2011-01-26,280.75,2227080.0,-53.17*-70.90*1
17,-53.0512904,-71.0595918,White-rumped Sandpiper,6,2011-01-27,280.020019531,2286000.0,-52.99*-71.24*1&-53.12*-70.88*5
18,-48.5424719667,-67.2293820667,White-rumped Sandpiper,124,2011-01-28,293.970001221,2363400.0,-38.92*-62.03*89&-53.46*-69.31*15&-53.25*-70.34*20
19,-30.9082095,-62.8648853,White-rumped Sandpiper,37,2011-01-29,299.900024414,2476140.0,-30.91*-62.86*37
20,-50.3252173,-72.2663176,White-rumped Sandpiper,2,2011-01-30,276.570007324,2557800.0,-50.33*-72.27*2
21,-30.9442529,-62.7301741,White-rumped Sandpiper,7,2011-01-31,294.070007324,2639820.0,-30.94*-62.73*7
22,-43.6852987,-63.65002155,White-rumped Sandpiper,1201,2011-02-05,292.529998779,3052800.0,-34.85*-57.95*1&-52.52*-69.35*1200
23,-38.9064812,-63.4660787,White-rumped Sandpiper,1001,2011-02-06,298.83001709,3134700.0,-25.27*-57.62*1&-52.55*-69.32*1000
24,-52.83126425,-70.09839535,White-rumped Sandpiper,101,2011-02-07,284.900024414,3236400.0,-52.55*-69.32*100&-53.12*-70.88*1
25,-53.1018956,-70.8735537,White-rumped Sandpiper,2,2011-02-08,284.650024414,3328500.0,-53.10*-70.87*2
